H|          21| |00 00 15.90|+08 00 26.0| 7.55| |H|000.06623569|+08.00723437| |   5.84|   61.89|   -0.22|  0.84|  0.51|  0.95|  0.84|  0.56| 0.20| 0.13|-0.09|-0.10| 0.01| 0.03| 0.06|-0.16| 0.30| 0.36|  2| 2.05|    21| 9.413|0.019| 7.689|0.009| | 1.438|0.017|T|1.43|0.03|L| | 7.6923|0.0012|0.010| 97| | 7.67| 7.71|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224724|B+07 5113 |          |          |1.36|K2          |S 
H|          22| |00 00 16.83|-49 21 08.2| 8.69| |H|000.07013593|-49.35226686| |   4.47|   -7.90|    0.46|  0.63|  0.79|  1.15|  0.71|  0.93|-0.06|-0.01|-0.10|-0.16|-0.14| 0.08|-0.12|-0.26|-0.06| 0.07|  0|-0.40|    22| 9.919|0.015| 8.803|0.010| | 0.962|0.014|T|0.95|0.01|L| | 8.8563|0.0017|0.024|212| | 8.82| 8.90|       | | | |          | |  | 1| | | |  |   |       |     |     |    | | | |224735|          |C-50 14096|P-50 11892|0.98|G8/K0III/IV |2 
H|          23| |00 00 17.86|+13 18 44.0| 7.57| |G|000.07442930|+13.31221083| |  12.21|   54.15|    9.65|  0.90|  0.52|  0.95|  0.91|  0.55| 0.17| 0.10| 0.12|-0.23| 0.19| 0.09| 0.15|-0.01| 0.10| 0.36|  0| 0.32|    23| 8.044|0.008| 7.606|0.008| | 0.456|0.015|G|0.53|0.02|H| | 7.6626|0.0015|0.011| 93| | 7.63| 7.68|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224742|B+12 5056 |          |          |0.53|F2V         |X 
H|          24| |00 00 18.25|-23 27 09.9| 9.05| |H|000.07604979|-23.45274913| |   9.73|  127.15|   22.22|  1.00|  0.61|  1.21|  1.21|  0.55| 0.03|-0.12| 0.21|-0.10| 0.12| 0.27| 0.01|-0.37|-0.02|-0.13|  1| 0.24|    24| 9.662|0.015| 9.103|0.014| | 0.528|0.015|T|0.60|0.02|L| | 9.1657|0.0015|0.017|139| | 9.13| 9.20|       |C| | |          | |  | 1| | |S|  |   |       |     |     |    | | | |224746|          |C-24 17941|P-24  7502|0.49|G0V         |4 
H|          25|H|00 00 19.05|-44 17 25.1| 6.28| |G|000.07936537|-44.29029741|A|  13.74|   58.36| -108.64|  0.88|  0.81|  0.98|  0.73|  0.68|-0.32| 0.18|-0.07| 0.02|-0.14| 0.02|-0.10|-0.25| 0.10|-0.02|  2|-0.52|    25| 7.238|0.004| 6.375|0.003|*| 0.763|0.003|G|0.80|0.00|H|*| 6.4211|0.0006|0.008|197|*| 6.41| 6.44|       |D| | |00003-4417|I| 1| 2|C| |A|AB|316|  0.463|0.002| 0.66|0.01|S| | |224750|          |C-44 15420|P-44 10394|0.80|G3IV        |X 
H|          26| |00 00 20.24|-13 23 35.9| 9.13| |H|000.08434579|-13.39329686| |   9.19| -103.33|  -33.35|  1.00|  0.83|  1.34|  1.42|  0.75| 0.42|-0.13|-0.12|-0.12|-0.16| 0.33|-0.24|-0.55| 0.25| 0.31|  0|-0.56|    26| 9.747|0.020| 9.179|0.019| | 0.535|0.020|T|0.61|0.02|L| | 9.2438|0.0018|0.020|131| | 9.21| 9.29|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224744|B-14 6597 |          |          |0.65|F7V         |4 
H|          27| |00 00 20.51|-41 17 51.1| 9.32| |H|000.08546976|-41.29753696| |   9.66|  135.96| -113.67|  0.82|  0.73|  1.38|  0.95|  0.94|-0.02|-0.06| 0.07| 0.19|-0.03| 0.06|-0.04|-0.34|-0.15|-0.04|  2|-0.07|    27|10.140|0.017| 9.389|0.015| | 0.671|0.017|T|0.73|0.01|L| | 9.4598|0.0026|0.026|184| | 9.41| 9.50|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224748|          |C-41 15375|P-41  9992|0.70|G5V         |2 
H|          28| |00 00 20.94|-43 21 42.5| 8.83| |H|000.08724871|-43.36179962| |   5.64|  -10.96|   -8.69|  0.71|  0.60|  1.05|  0.83|  0.78| 0.05|-0.03|-0.11| 0.17|-0.15| 0.26|-0.14|-0.45| 0.08| 0.08|  0|-0.76|    28| 9.376|0.012| 8.892|0.012| | 0.468|0.013|T|0.54|0.01|L| | 8.9386|0.0014|0.016|171| | 8.92| 8.97|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224749|          |C-44 15421|P-44 10395|0.51|F3/F5V      |2 
H|          29| |00 00 22.11|-49 06 28.6| 9.14| |H|000.09213106|-49.10795505| |   2.85|   26.86|    4.05|  0.75|  0.92|  1.40|  0.79|  1.09|-0.09|-0.11|-0.18|-0.24|-0.08|-0.03|-0.11|-0.24| 0.08| 0.00|  0|-0.23|    29|10.502|0.022| 9.284|0.013| | 1.041|0.020|T|1.01|0.02|L| | 9.3109|0.0019|0.024|199| | 9.26| 9.36|       | | | |          | |  | 1| | |S|  |   |       |     |     |    | | | |224751|          |C-49 14311|P-49 11836|0.94|G8III       |2 
H|          30| |00 00 23.07|+42 08 29.4| 8.26| |H|000.09613563|+42.14149882| |   3.79|   -8.44|  -10.14|  0.53|  0.53|  0.88|  0.72|  0.54| 0.07| 0.11| 0.26|-0.09|-0.05|-0.14| 0.02| 0.14| 0.16|-0.08|  0| 0.03|    30| 8.414|0.007| 8.266|0.008| | 0.142|0.010|T|0.16|0.01|L| | 8.3069|0.0011|0.012|151| | 8.29| 8.33|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224757|B+41 4916 |          |          |0.12|A0          |S 
H|          31| |00 00 23.54|+02 40 31.7| 7.63| |H|000.09809390|+02.67547768| |   1.84|   -4.88|   -0.20|  1.06|  0.61|  1.05|  1.49|  0.69| 0.19| 0.17|-0.04|-0.33| 0.14|-0.02| 0.22| 0.10| 0.07|-0.07|  0|-0.07|    31| 9.534|0.021| 7.791|0.010| | 1.453|0.018|T|1.46|0.03|L| | 7.7648|0.0020|0.014| 80| | 7.75| 7.79|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224760|B+01 4814 |          |          |1.12|K2          |S 
H|          32| |00 00 23.66|+51 56 22.2| 9.09| |H|000.09858375|+51.93949050| |   3.10|   -0.39|   -1.38|  0.78|  0.74|  1.29|  0.94|  0.79|-0.18| 0.07| 0.18| 0.04| 0.08| 0.08| 0.08| 0.02| 0.19|-0.12|  2| 0.61|    32| 9.108|0.011| 9.070|0.015| | 0.040|0.017|T|0.06|0.01|L| | 9.1043|0.0022|0.024|161| | 9.06| 9.15|       | | | |          | |  | 1| | | |  |   |       |     |     |    | | | |224756|B+51 3756 |          |          |0.05|B8          |S 
H|          33| |00 00 23.80|-10 27 44.8| 8.10| |H|000.09918083|-10.46245445| |   8.94|   -3.62|   28.71|  0.90|  0.48|  1.09|  1.39|  0.47| 0.30|-0.31|-0.06|-0.25| 0.02| 0.33|-0.14|-0.38| 0.30| 0.23|  0| 0.26|    33| 8.616|0.009| 8.152|0.009| | 0.466|0.015|G|0.54|0.02|H| | 8.2076|0.0011|0.010|150| | 8.19| 8.23|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224743|B-11 6175 |          |          |0.54|F2          |S 
H|          34| |00 00 23.87|+26 55 05.7| 6.43| |H|000.09946973|+26.91823821| |  12.71|   42.20|  -53.47|  0.61|  0.43|  0.74|  0.64|  0.43| 0.15| 0.32| 0.13| 0.00| 0.04| 0.02| 0.07|-0.07| 0.15| 0.09|  0| 1.99|    34| 7.040|0.004| 6.491|0.004| | 0.514|0.005|T|0.59|0.01|L| | 6.5466|0.0009|0.007|105| | 6.53| 6.56|       | | | |00004+2655|I| 1| 1| | | |  |   |       |     |     |    |S| | |224758|B+26 4727 |          |          |0.58|F7.5IV-V    |S 
H|          35| |00 00 24.61|-14 29 25.7| 9.07| |H|000.10256052|-14.49048072| |   5.96|  162.25|   -1.47|  1.13|  0.69|  1.45|  1.66|  0.62| 0.29|-0.34|-0.22|-0.22|-0.07| 0.44|-0.14|-0.47| 0.26| 0.19|  2| 1.25|    35|10.214|0.029| 9.181|0.019| | 0.916|0.004|G|0.96|0.00|I| | 9.2353|0.0016|0.020|125| | 9.21| 9.27|       |C| | |          | |  | 1| | | |  |   |       |     |     |    | | | |224745|B-15 6528 |          |          |0.96|G8/K0III/IV |4 
H|          36| |00 00 24.79|+12 16 01.5| 7.68| |H|000.10327550|+12.26709303| |   6.30|   49.71|   14.27|  0.82|  0.53|  0.96|  0.85|  0.60| 0.26| 0.15|-0.05|-0.12| 0.03|-0.01| 0.07|-0.11| 0.23| 0.50|  0| 0.34|    36| 9.159|0.015| 7.801|0.009| | 1.150|0.014|T|1.11|0.01|L| | 7.8503|0.0015|0.009| 87| | 7.83| 7.87|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224759|B+11 5085 |          |          |1.06|K0          |S 
H|          37|H|00 00 25.28|-47 10 46.5|10.44| |H|000.10535190|-47.17958382|*|   3.74|   -6.92|    7.03|  3.67|  2.50|  2.72|  2.23|  2.14| 0.10|-0.14|-0.08|-0.13|-0.09| 0.12|-0.09|-0.26| 0.11|-0.04|  2|-0.24|    37|10.857|0.036|10.457|0.040|*| 0.391|0.045|T|0.46|0.05|L|*|10.5345|0.0037|0.035|131|*|10.44|10.61|       |D| | |00004-4711|H| 1| 2|C| |A|AB|332|  0.233|0.017| 0.78|0.28| | | |224764|          |C-47 14771|P-47 10072|0.39|F0V         |2 
H|          38| |00 00 26.65|-79 03 42.6| 8.65| |H|000.11104694|-79.06183133| |  23.84|  162.30|  -62.40|  0.64|  0.68|  0.78|  0.74|  0.64| 0.10|-0.04|-0.14| 0.05| 0.09|-0.05| 0.07|-0.04| 0.03| 0.13|  0|-1.56|    38| 9.614|0.016| 8.723|0.012| | 0.778|0.015|T|0.81|0.01|L| | 8.7855|0.0019|0.020|127| | 8.76| 8.81|       |C| | |          | |  | 1| | | |  |   |       |     |     |    | | | |224752|          |          |P-79  1245|0.84|G6V         |1 
H|          39| |00 00 26.85|-16 41 48.9| 7.46| |G|000.11186148|-16.69693020| |  10.98|  169.72|  -32.54|  0.95|  0.61|  1.18|  1.40|  0.57| 0.30|-0.02|-0.02|-0.32|-0.06| 0.17|-0.12|-0.47| 0.14| 0.11|  2|-0.03|    39| 7.986|0.008| 7.493|0.008| | 0.475|0.009|T|0.55|0.01|L| | 7.5669|0.0010|0.010|102| | 7.55| 7.58|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224763|B-17 6860 |          |          |0.50|F3V         |4 
H|          41| |00 00 27.98|+54 18 08.1| 8.70| |H|000.11656351|+54.30223774| |   3.42|    1.78|   -0.47|  0.66|  0.67|  1.04|  0.78|  0.71|-0.24| 0.26| 0.13| 0.24| 0.01| 0.08| 0.05|-0.04| 0.06|-0.15|  0|-1.53|    41| 8.699|0.009| 8.676|0.011| | 0.026|0.013|T|0.04|0.01|L| | 8.7202|0.0018|0.021|172| | 8.68| 8.76|       | | | |          | |  | 1| | | |  |   |       |     |     |    | | | |224768|B+53 3270 |          |          |0.04|A0          |S 
H|          40|H|00 00 29.27|+67 13 00.4|10.61|2|G|000.12196971|+67.21679125|A|  -3.40|   -2.99|   -3.18|  3.83|  3.95|  4.25|  4.14|  3.75|-0.11|-0.09| 0.24|-0.04| 0.12| 0.17| 0.08|-0.21| 0.12|-0.10|  7| 1.79|    40|      |     |      |     | | 0.570|0.042|G|0.64|0.04|R|*|10.3360|0.0056|0.082|124|*|10.24|10.55|       |U|2|C|00005+6713|I| 1| 2|C| |A|AB|225|  8.198|0.010| 0.17|0.03| |G| |      |B+66 1669 |          |          |0.64|B...        |S 
H|          42| |00 00 30.09|+25 50 41.2| 8.20| |G|000.12538666|+25.84478059| |   6.38|   20.70|   -6.51|  0.77|  0.54|  0.91|  0.87|  0.56| 0.13| 0.17| 0.11| 0.07|-0.07|-0.11|-0.02|-0.09| 0.19| 0.07|  0| 0.31|    42| 8.656|0.011| 8.238|0.011| | 0.387|0.012|G|0.45|0.01|H| | 8.2911|0.0011|0.010|102| | 8.28| 8.31|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224771|B+25 5055 |          |          |0.45|F2          |S 
H|          43| |00 00 30.98|+59 33 35.1| 6.18| |H|000.12908900|+59.55973786| |   7.63|  -80.60|  -24.07|  0.42|  0.45|  0.60|  0.56|  0.49|-0.20| 0.08| 0.08| 0.05|-0.02|-0.02| 0.01|-0.15| 0.18|-0.16|  2| 0.93|    43| 7.497|0.005| 6.290|0.003| | 1.032|0.005|T|1.00|0.00|L| | 6.3456|0.0006|0.007|147| | 6.34| 6.36|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224784|B+58 2685 |          |          |1.00|G9III-IV    |X 
H|          44| |00 00 31.85|-03 18 22.9| 7.91| |H|000.13272230|-03.30636174| |   2.41|   11.10|   16.04|  1.11|  0.50|  1.01|  1.37|  0.51| 0.18| 0.15|-0.03|-0.43| 0.06| 0.03| 0.03|-0.26| 0.13| 0.20|  0| 1.42|    44| 9.347|0.020| 8.048|0.012| | 1.104|0.018|T|1.07|0.02|L| | 8.0825|0.0012|0.009|114| | 8.07| 8.10|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224776|B-04 6003 |          |          |1.07|K2          |S 
H|          45|H|00 00 32.21|-72 12 09.8| 9.59| |H|000.13420453|-72.20271031|A|  15.10|  -37.20|   -2.78|  1.82|  1.68|  1.92|  1.95|  1.64| 0.05| 0.15|-0.14| 0.08| 0.14| 0.00| 0.14| 0.06| 0.00| 0.08|  1| 0.92|    45|10.618|0.033| 9.808|0.026|A|      |     | |    |    |T|*| 9.7391|0.0025|0.028|130|*| 9.69| 9.79|       |D| | |00005-7212|I| 1| 2|C| |A|AB|242|  2.829|0.019| 2.06|0.09| | | |224766|          |          |P-72  2794|0.83|G6/G8V:     |1 
